教学班,培养类型,课程代码,课程名称,课程性质,课程类别,授课语言,学分,学时,教师,上课信息,选课要求,面向对象,限制对象,本科生容量/已选,研究生容量/已选,开课院系
劳动教育-01班-中文-只面向力航系研究生,研,ACA6003,劳动教育 Labor Education,,培养环节,中文,1.0,32.0,肖思 赵晓亭,"3,7,9,13周,星期日第1-4节 校外活动场所 3,7,9,13周,星期日第5-8节 校外活动场所 选课要求:本课程只面向力航系研究生",,"学院:力学与航空航天工程系,","年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,48 / 38,力学与航空航天工程系
劳动教育-02班-中文-只面向力航系研究生,研,ACA6003,劳动教育 Labor Education,,培养环节,中文,1.0,32.0,刘晓宇,"3,7,9,13周,星期日第1-8节 校外活动场所 选课要求:本课程只面向力航系研究生",,"学院:力学与航空航天工程系,","年级:2025,学院:深圳理工大学,层次:硕士;",0 / 0,24 / 16,力学与航空航天工程系
学术交流-01班-中文,研,ACA6007,学术交流 Academic exchange,,培养环节,中文,0.0,32.0,周招弟,,,,,0 / 0,30 / 0,统计与数据科学系
学术交流-02班-中文,研,ACA6007,学术交流 Academic exchange,,培养环节,中文,0.0,32.0,罗淑芳,,,,,0 / 0,30 / 0,生物医学工程系
学术交流-03班-中文,研,ACA6007,学术交流 Academic exchange,,培养环节,中文,0.0,32.0,宋波,,,,,0 / 0,30 / 0,电子与电气工程系
学术交流-04班-中文,研,ACA6007,学术交流 Academic exchange,,培养环节,中文,0.0,32.0,张一,,,,,0 / 0,30 / 0,医学院
遗传学-01班-双语,本,BIO301,遗传学 Genetics,必修,专业基础课,双语,3.0,48.0,黄鸿达，余化鹏,"1-15周,星期一第3-4节 一教404；1-7周,11-15周,星期四第9-10节 一教404；9周,星期四第9-10节 一教404",,,,30/23,0/0,生物系
现代生物技术-01班-双语,本,BIO302,现代生物技术 Modern Biotechnology,选修,专业选修课,双语,3.0,48.0,宋昆,"1-15周,星期一第1-2节 一教305；1-15周,星期三第5-6节 一教305",,,,30/23,0/0,生物系
系统生物学-01班-双语,本,BIO304,系统生物学 Systems Biology,必修,专业核心课,双语,3.0,48.0,闫凯歌，何思聪，余化鹏,"1-15周,星期三第9-10节 一教226；2-4,8-14双周,星期一第5-6节 一教226；2-14双周,星期一第5-6节 一教226；5周,星期一第5-6节 一教227",2023级生物信息学专业核心课，生物科学专业选修课。,,,30/29,0/0,生物系
电子信息科学研实践II -01班-双语,本,EE354,电子信息科学研实践II Research Practice of Electronic and Information Science II,选修,专业选修课,双语,1.0,32.0,张青峰,"1-15周,星期六第5-6节 无地点",,,,10/7,0/0,电子与电气工程系
机器人运动与控制方法-01班-英文,本,EE368,机器人运动与控制方法 Robotic Motion and Control,选修,专业选修课,英文,3.0,64.0,孟庆虎,"1-15周,星期三第3-4节 一教324；1-15周,星期三第7-8节 工学院南楼433",,,,50/46,0/0,电子与电气工程系
电子科学创新实验III-01班-中文,本,EE405,电子科学创新实验III Advanced Electronic Science Experiment III,必修,专业核心课,中文,1.0,32.0,吴光,"1-15周,星期六第7-8节 无地点",,,,120/99,0/0,电子与电气工程系
工业实习-01班-中文-后置名单,本,EE470,工业实习 Industrial Practice,必修,实践,中文,2.0,64.0,陈霏,,,,,50/0,0/0,电子与电气工程系
毕业论文（设计）-01班-中文-后置名单,本,EE490,毕业论文（设计） Degree Thesis (Design),毕业设计/论文,专业必修课,中文,8.0,288.0,王小静,,,,,10/0,0/0,电子与电气工程系
毕业论文（设计）-01班-中文-后置名单,本,EE492,毕业论文（设计） Degree Thesis (Design),毕业设计/论文,专业必修课,中文,12.0,384.0,王小静,,,,,110/0,0/0,电子与电气工程系
